Código,Descripción,Tipo Descripción
A699,"INFECCION POR ESPIROQUETA, NO ESPECIFICADA",Diagnóstico (CIEX)
A70X,INFECCION DEBIDA A CHLAMYDIA PSITTACI,Diagnóstico (CIEX)
A710,ESTADO INICIAL DE TRACOMA,Diagnóstico (CIEX)
A711,ESTADO ACTIVO DE TRACOMA,Diagnóstico (CIEX)
A719,"TRACOMA, NO ESPECIFICADO",Diagnóstico (CIEX)
A749,"INFECCION POR CLAMIDIAS, NO ESPECIFICADA",Diagnóstico (CIEX)
A750,TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS,Diagnóstico (CIEX)
A740,CONJUNTIVITIS POR CLAMIDIAS (H13.1*),Diagnóstico (CIEX)
A751,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL],Diagnóstico (CIEX)
A748,OTRAS ENFERMEDADES POR CLAMIDIAS,Diagnóstico (CIEX)
A753,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI,Diagnóstico (CIEX)
A759,"TIFUS, NO ESPECIFICADO",Diagnóstico (CIEX)
A752,TIFUS DEBIDO A RICKETTSIA TYPHI,Diagnóstico (CIEX)
A770,FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII,Diagnóstico (CIEX)
A771,FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII,Diagnóstico (CIEX)
A778,OTRAS FIEBRES MACULOSAS,Diagnóstico (CIEX)
A779,"FIEBRE MACULOSA, NO ESPECIFICADA",Diagnóstico (CIEX)
A772,FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA,Diagnóstico (CIEX)
A78X,FIEBRE Q,Diagnóstico (CIEX)
A790,FIEBRE DE LAS TRINCHERAS,Diagnóstico (CIEX)
A773,FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS,Diagnóstico (CIEX)
A791,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI,Diagnóstico (CIEX)
A798,OTRAS RICKETTSIOSIS ESPECIFICADAS,Diagnóstico (CIEX)
A799,"RICKETTSIOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
A800,"POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA",Diagnóstico (CIEX)
A801,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO,Diagnóstico (CIEX)
A802,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO,Diagnóstico (CIEX)
A809,"POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A810,ENFERMEDAD DE CREUTZFELDT - JAKOB,Diagnóstico (CIEX)
A803,"OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y LAS NO ESPECIFICADAS",Diagnóstico (CIEX)
A804,POLIOMIELITIS AGUDA NO PARALITICA,Diagnóstico (CIEX)
A811,PANENCEFALITIS ESCLEROSANTE SUBAGUDA,Diagnóstico (CIEX)
A812,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA,Diagnóstico (CIEX)
A818,OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO,Diagnóstico (CIEX)
A819,"INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A820,RABIA SELVATICA (RABIA HUMANA SILVESTRE),Diagnóstico (CIEX)
A821,RABIA HUMANA URBANA,Diagnóstico (CIEX)
A829,"RABIA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A830,ENCEFALITIS JAPONESA,Diagnóstico (CIEX)
A831,ENCEFALITIS EQUINA DEL OESTE,Diagnóstico (CIEX)
A834,ENCEFALITIS AUSTRALIANA,Diagnóstico (CIEX)
A835,ENCEFALITIS DE CALIFORNIA,Diagnóstico (CIEX)
A836,ENFERMEDAD POR VIRUS ROCIO,Diagnóstico (CIEX)
A833,ENCEFALITIS DE SAN LUIS,Diagnóstico (CIEX)
A832,ENCEFALITIS EQUINA DEL ESTE,Diagnóstico (CIEX)
A838,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS,Diagnóstico (CIEX)
A839,"ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A840,ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL,Diagnóstico (CIEX)
A841,ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS,Diagnóstico (CIEX)
A850,ENCEFALITIS ENTEROVIRAL (G05.1*),Diagnóstico (CIEX)
A851,ENCEFALITIS POR ADENOVIRUS (G05.1*),Diagnóstico (CIEX)
A848,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR GARRAPATAS,Diagnóstico (CIEX)
A849,"ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A852,"ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A858,OTRAS ENCEFALITIS VIRALES ESPECIFICADAS,Diagnóstico (CIEX)
A86X,MENINGOENCEFALITIS VIRAL,Diagnóstico (CIEX)
A878,OTRAS MENINGITIS VIRALES,Diagnóstico (CIEX)
A879,"MENINGITIS VIRAL, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A870,MENINGITIS ENTEROVIRAL (G02.0*),Diagnóstico (CIEX)
A871,MENINGITIS DEBIDA A ADENOVIRUS (G02.0*),Diagnóstico (CIEX)
A872,CORIOMENINGITIS LINFOCITICA,Diagnóstico (CIEX)
A920,ENFERMEDAD POR VIRUS CHIKUNGUNYA,Diagnóstico (CIEX)
A880,FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON],Diagnóstico (CIEX)
A881,VERTIGO EPIDEMICO,Diagnóstico (CIEX)
A888,OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL,Diagnóstico (CIEX)
A89X,"INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA",Diagnóstico (CIEX)
A921,FIEBRE DE ONYONG-NYONG,Diagnóstico (CIEX)
A923,FIEBRE DEL OESTE DEL NILO,Diagnóstico (CIEX)
A922,FIEBRE EQUINA VENEZOLANA,Diagnóstico (CIEX)
A924,FIEBRE DEL VALLE DEL RIFT,Diagnóstico (CIEX)
A928,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS,Diagnóstico (CIEX)
A929,"FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A930,ENFERMEDAD POR VIRUS DE OROPOUCHE,Diagnóstico (CIEX)
A931,FIEBRE TRANSMITIDA POR FLEBOTOMOS,Diagnóstico (CIEX)
A932,FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS,Diagnóstico (CIEX)
A938,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ARTROPODOS,Diagnóstico (CIEX)
A9501,FIEBRE AMARILLA SELV?TICA FASE MODERADA,Diagnóstico (CIEX)
A9502,FIEBRE AMARILLA SELV?TICA FASE TOXICA,Diagnóstico (CIEX)
A950,FIEBRE AMARILLA SELVATICA,Diagnóstico (CIEX)
A94X,"FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA",Diagnóstico (CIEX)
A951,FIEBRE AMARILLA URBANA,Diagnóstico (CIEX)
A959,FIEBRE AMARILLA NO ESPECIFICADA,Diagnóstico (CIEX)
A962,FIEBRE DE LASSA,Diagnóstico (CIEX)
A968,OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS,Diagnóstico (CIEX)
A960,FIEBRE HEMORRAGICA DE JUNIN,Diagnóstico (CIEX)
A969,"FIEBRE HEMORRAGICA POR ARENAVIRUS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A970,DENGUE SIN SENIALES DE ALARMA,Diagnóstico (CIEX)
A961,FIEBRE HEMORRAGICA DE MACHUPO,Diagnóstico (CIEX)
A971,DENGUE CON SENIALES DE ALARMA,Diagnóstico (CIEX)
A972,DENGUE GRAVE,Diagnóstico (CIEX)
A983,ENFERMEDAD POR EL VIRUS DE MARBURG,Diagnóstico (CIEX)
A984,ENFERMEDAD POR EL VIRUS DE EBOLA,Diagnóstico (CIEX)
A981,FIEBRE HEMORRAGICA DE OMSK,Diagnóstico (CIEX)
A982,ENFERMEDAD DE LA SELVA DE KYASANUR,Diagnóstico (CIEX)
A980,FIEBRE HEMORRAGICA DE CRIMEA-CONGO,Diagnóstico (CIEX)
A99X,"FIEBRE VIRAL HEMORRAGICA, NO ESPECIFICADA",Diagnóstico (CIEX)
B000,ECZEMA HERPETICO,Diagnóstico (CIEX)
A988,OTRAS FIEBRES HEMORRAGICAS VIRALES ESPECIFICADAS,Diagnóstico (CIEX)
A985,FIEBRES HEMORRAGICAS CON SINDROME RENAL,Diagnóstico (CIEX)
B001,DERMATITIS VESICULAR HERPETICA,Diagnóstico (CIEX)
B002,GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA,Diagnóstico (CIEX)
B004,ENCEFALITIS HERPETICA (G05.1*),Diagnóstico (CIEX)
B005,OCULOPATIA HERPETICA,Diagnóstico (CIEX)
B003,MENINGITIS HERPETICA (G02.0*),Diagnóstico (CIEX)
B002X,GINGIVOESTOMATITIS HERPETICA,Diagnóstico (CIEX)
B007,ENFERMEDAD HERPETICA DISEMINADA,Diagnóstico (CIEX)
B008,OTRAS FORMAS DE INFECCIONES HERPETICAS,Diagnóstico (CIEX)
B008X,PANADIZO HERPETICO,Diagnóstico (CIEX)
B009,"INFECCION DEBIDA AL VIRUS DEL HERPES, NO ESPECIFICADA",Diagnóstico (CIEX)
B010,MENINGITIS DEBIDA A VARICELA (G02.0*),Diagnóstico (CIEX)
B011,ENCEFALITIS DEBIDA A VARICELA (G05.1*),Diagnóstico (CIEX)
B019,VARICELA SIN COMPLICACIONES,Diagnóstico (CIEX)
B020,ENCEFALITIS DEBIDA A HERPES ZOSTER (G05.1*),Diagnóstico (CIEX)
B012,NEUMONIA DEBIDA A VARICELA (J17.1*),Diagnóstico (CIEX)
B018,VARICELA CON OTRAS COMPLICACIONES,Diagnóstico (CIEX)
B0220,NEURALGIA POSTHERPETICA DEL TRIGEMINO,Diagnóstico (CIEX)
B023,HERPES ZOSTER OCULAR,Diagnóstico (CIEX)
B021,MENINGITIS DEBIDA A HERPES ZOSTER (G02.0*),Diagnóstico (CIEX)
B027,HERPES ZOSTER DISEMINADO,Diagnóstico (CIEX)
B028,HERPES ZOSTER CON OTRAS COMPLICACIONES,Diagnóstico (CIEX)
B022,HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO,Diagnóstico (CIEX)
B029,HERPES ZOSTER SIN COMPLICACIONES,Diagnóstico (CIEX)
B04X,VIRUELA DE LOS MONOS,Diagnóstico (CIEX)
B050,SARAMPION COMPLICADO CON ENCEFALITIS (G05.1*),Diagnóstico (CIEX)
B051,SARAMPION COMPLICADO CON MENINGITIS (G02.0*),Diagnóstico (CIEX)
B052,SARAMPION COMPLICADO CON NEUMONIA (J17.1*),Diagnóstico (CIEX)
B03X,VIRUELA,Diagnóstico (CIEX)
B060,RUBEOLA CON COMPLICACIONES NEUROLOGICAS,Diagnóstico (CIEX)
B068,RUBEOLA CON OTRAS COMPLICACIONES,Diagnóstico (CIEX)
B054,SARAMPION CON COMPLICACIONES INTESTINALES,Diagnóstico (CIEX)
B058,SARAMPION CON OTRAS COMPLICACIONES,Diagnóstico (CIEX)
B053,SARAMPION COMPLICADO CON OTITIS MEDIA (H67.1*),Diagnóstico (CIEX)
B059,SARAMPION SIN COMPLICACIONES,Diagnóstico (CIEX)
B069,RUBEOLA SIN COMPLICACIONES,Diagnóstico (CIEX)
B07X,VERRUGAS VIRICAS,Diagnóstico (CIEX)
B07X0,VERRUGA BUCAL VULGAR,Diagnóstico (CIEX)
B082,EXANTEMA SUBITO [SEXTA ENFERMEDAD],Diagnóstico (CIEX)
B083,ERITEMA INFECCIOSO [QUINTA ENFERMEDAD],Diagnóstico (CIEX)
B080,OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS,Diagnóstico (CIEX)
B081,MOLUSCO CONTAGIOSO,Diagnóstico (CIEX)
B085,FARINGITIS VESICULAR ENTEROVIRICA,Diagnóstico (CIEX)
B088,"OTRAS INFECCIONES VIRALES ESPECIFICADAS, CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS",Diagnóstico (CIEX)
B084,ESTOMATITIS VESICULAR ENTEROVIRAL CON EXANTEMA,Diagnóstico (CIEX)
B09X,"INFECCION VIRAL NO ESPECIFICADA, CARACTERIZADA POR LESIONES DE LA PIEL Y DE LAS",Diagnóstico (CIEX)
B150,"HEPATITIS AGUDA TIPO A, CON COMA HEPATICO",Diagnóstico (CIEX)
B159,"HEPATITIS AGUDA TIPO A, SIN COMA HEPATICO",Diagnóstico (CIEX)
B160,"HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION), CON COMA HEPATICO",Diagnóstico (CIEX)
B161,"HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCION), SIN COMA HEPATICO",Diagnóstico (CIEX)
B169,"HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA Y SIN COMA HEPATICO",Diagnóstico (CIEX)
B170,INFECCION (SUPERINFECCION) AGUDA POR AGENTE DELTA EN EL PORTADOR DE HEPATITIS B,Diagnóstico (CIEX)
B162,"HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA, CON COMA HEPATICO",Diagnóstico (CIEX)
B171,HEPATITIS AGUDA TIPO C,Diagnóstico (CIEX)
B172,HEPATITIS AGUDA TIPO E,Diagnóstico (CIEX)
B178,OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS,Diagnóstico (CIEX)
B179,"HEPATITIS VIRAL AGUDA, NO ESPECIFICADA",Diagnóstico (CIEX)
B180,"HEPATITIS VIRAL TIPO B CRONICA, CON AGENTE DELTA",Diagnóstico (CIEX)
B181,"HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",Diagnóstico (CIEX)
B182,HEPATITIS VIRAL TIPO C CRONICA,Diagnóstico (CIEX)
B189,"HEPATITIS VIRAL CRONICA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B188,OTRAS HEPATITIS VIRALES CRONICAS,Diagnóstico (CIEX)
B199,HEPATITIS VIRAL NO ESPECIFICADA SIN COMA HEPÁTICO,Diagnóstico (CIEX)
B200,ASOCIACION VIH -SIDA-TBC,Diagnóstico (CIEX)
B190,HEPATITIS VIRAL NO ESPECIFICADA CON COMA HEPÁTICO,Diagnóstico (CIEX)
B201,"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS INFECCIONES BACTERIANAS",Diagnóstico (CIEX)
B202,"ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD POR CITOMEGALOVIRUS",Diagnóstico (CIEX)
B203,"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS INFECCIONES VIRALES",Diagnóstico (CIEX)
B204,"ENFERMEDAD POR VIH, RESULTANTE EN CANDIDIASIS",Diagnóstico (CIEX)
B205,"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS MICOSIS",Diagnóstico (CIEX)
B207,"ENFERMEDAD POR VIH, RESULTANTE EN INFECCIONES MULTIPLES",Diagnóstico (CIEX)
B208,"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS",Diagnóstico (CIEX)
B206,"ENFERMEDAD POR VIH, RESULTANTE EN NEUMONIA POR PNEUMOCYSTIS CARINII",Diagnóstico (CIEX)
B209,"ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD INFECCIOSA O PARASITARIA NO ESPECIFICADA",Diagnóstico (CIEX)
B210,"ENFERMEDAD POR VIH, RESULTANTE EN SARCOMA DE KAPOSI",Diagnóstico (CIEX)
B211,"ENFERMEDAD POR VIH, RESULTANTE EN LINFOMA DE BURKITT",Diagnóstico (CIEX)
B213,"ENFERMEDAD POR VIH, RESULTANTE EN OTROS TUMORES MALIGNOS DEL TEJIDO LINFOIDE, HEMATOPOYE",Diagnóstico (CIEX)
B217,"ENFERMEDAD POR VIH, RESULTANTE EN TUMORES MALIGNOS MULTIPLES",Diagnóstico (CIEX)
B212,"ENFERMEDAD POR VIH, RESULTANTE EN OTROS TIPOS DE LINFOMA NO HODGKIN",Diagnóstico (CIEX)
B218,"ENFERMEDAD POR VIH, RESULTANTE EN OTROS TUMORES MALIGNOS",Diagnóstico (CIEX)
B219,"ENFERMEDAD POR VIH, RESULTANTE EN TUMORES MALIGNOS NO ESPECIFICADOS",Diagnóstico (CIEX)
B220,"ENFERMEDAD POR VIH, RESULTANTE EN ENCEFALOPATIA",Diagnóstico (CIEX)
B230,SINDROME DE INFECCION AGUDA DEBIDA A VIH,Diagnóstico (CIEX)
B231,"ENFERMEDAD POR VIH, RESULTANTE EN LINFADENOPATIA GENERALIZADA (PERSISTENTE)",Diagnóstico (CIEX)
B221,"ENFERMEDAD POR VIH, RESULTANTE EN NEUMONITIS LINFOIDE INTERSTICIAL",Diagnóstico (CIEX)
B227,"ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDADES MULTIPLES CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
B222,"ENFERMEDAD POR VIH, RESULTANTE EN SINDROME CAQUECTICO",Diagnóstico (CIEX)
B232,"ENFERMEDAD POR VIH, RESULTANTE EN ANORMALIDADES INMUNOLOGICAS Y HEMATOLOGICAS, NO CLASIF",Diagnóstico (CIEX)
B238,"ENFERMEDAD POR VIH, RESULTANTE EN OTRAS AFECCIONES ESPECIFICADAS",Diagnóstico (CIEX)
B24X,SIDA,Diagnóstico (CIEX)
B250,NEUMONITIS DEBIDA A VIRUS CITOMEGALICO (J17.1*),Diagnóstico (CIEX)
B251,HEPATITIS DEBIDA A VIRUS CITOMEGALICO (K77.0*),Diagnóstico (CIEX)
B252,PANCREATITIS DEBIDA A VIRUS CITOMEGALICO (K87.1*),Diagnóstico (CIEX)
B259,"ENFERMEDAD POR VIRUS CITOMEGALICO, NO ESPECIFICADA",Diagnóstico (CIEX)
B260,ORQUITIS POR PAROTIDITIS (N51.1*),Diagnóstico (CIEX)
B261,MENINGITIS POR PAROTIDITIS (G02.0*),Diagnóstico (CIEX)
B258,OTRAS ENFERMEDADES DEBIDAS A VIRUS CITOMEGALICO,Diagnóstico (CIEX)
B262,ENCEFALITIS POR PAROTIDITIS (G05.1*),Diagnóstico (CIEX)
B263,PANCREATITIS POR PAROTIDITIS (K87.1*),Diagnóstico (CIEX)
B268,PAROTIDITIS INFECCIOSA CON OTRAS COMPLICACIONES,Diagnóstico (CIEX)
B269,"PAROTIDITIS, SIN COMPLICACIONES",Diagnóstico (CIEX)
B270,MONONUCLEOSIS DEBIDA A HERPES VIRUS GAMMA,Diagnóstico (CIEX)
B271,MONONUCLEOSIS POR CITOMEGALOVIRUS,Diagnóstico (CIEX)
B278,OTRAS MONONUCLEOSIS INFECCIOSAS,Diagnóstico (CIEX)
B300,QUERATOCONJUNTIVITIS DEBIDA A ADENOVIRUS (H19.2*),Diagnóstico (CIEX)
B301,CONJUNTIVITIS DEBIDA A ADENOVIRUS (H13.1*),Diagnóstico (CIEX)
B302,FARINGOCONJUNTIVITIS VIRAL,Diagnóstico (CIEX)
B279,"MONONUCLEOSIS INFECCIOSA, NO ESPECIFICADA",Diagnóstico (CIEX)
B303,CONJUNTIVITIS EPIDEMICA AGUDA HEMORRAGICA (ENTEROVIRICA) (H13.1*),Diagnóstico (CIEX)
B308,OTRAS CONJUNTIVITIS VIRALES (H13.1*),Diagnóstico (CIEX)
B309,"CONJUNTIVITIS VIRAL, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B330,MIALGIA EPIDEMICA,Diagnóstico (CIEX)
B331,ENFERMEDAD DEL RIO ROSS,Diagnóstico (CIEX)
B332,CARDITIS VIRAL,Diagnóstico (CIEX)
B333,"INFECCIONES DEBIDAS A RETROVIRUS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
B334,SÍNDROME (CARDIO)-PULMONAR POR HANTAVIRUS [SPH] [SCPH] (J17.1*),Diagnóstico (CIEX)
B338,OTRAS ENFERMEDADES VIRALES ESPECIFICADAS,Diagnóstico (CIEX)
B340,"INFECCION DEBIDA A ADENOVIRUS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B341,"INFECCION DEBIDA A ENTEROVIRUS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B342,"INFECCION DEBIDA A CORONAVIRUS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B343,"INFECCION DEBIDA A PARVOVIRUS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B344,"INFECCION DEBIDA A PAPOVAVIRUS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B348,OTRAS INFECCIONES VIRALES DE SITIO NO ESPECIFICADO,Diagnóstico (CIEX)
B349,"INFECCION VIRAL, NO ESPECIFICADA",Diagnóstico (CIEX)
B352,TINA DE LA MANO,Diagnóstico (CIEX)
B353,TINA DEL PIE [TINEA PEDIS],Diagnóstico (CIEX)
B351,TINA DE LAS UNAS,Diagnóstico (CIEX)
B350,TINA DE LA BARBA Y DEL CUERO CABELLUDO,Diagnóstico (CIEX)
B354,TINA DEL CUERPO [TINEA CORPORIS],Diagnóstico (CIEX)
B355,TINA IMBRICADA [TINEA IMBRICATA],Diagnóstico (CIEX)
B356,TINA INGUINAL [TINEA CRURIS],Diagnóstico (CIEX)
B359,"DERMATOFITOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B360,PITIRIASIS VERSICOLOR,Diagnóstico (CIEX)
B358,OTRAS DERMATOFITOSIS,Diagnóstico (CIEX)
B361,TINA NEGRA,Diagnóstico (CIEX)
B362,PIEDRA BLANCA,Diagnóstico (CIEX)
B363,PIEDRA NEGRA,Diagnóstico (CIEX)
B369,"MICOSIS SUPERFICIAL, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B370,ESTOMATITIS CANDIDIASICA,Diagnóstico (CIEX)
B368,OTRAS MICOSIS SUPERFICIALES ESPECIFICADAS,Diagnóstico (CIEX)
B3701,ESTOMATITIS CANDIDIASICA ERITEMATOSA(ATROFICA) AGUDA,Diagnóstico (CIEX)
B3702,ESTOMATITIS CANDIDIASICA HIPERPLASICA CRONICA,Diagnóstico (CIEX)
B3700,ESTOMATITIS CANDIDIASICA PSEUDOMEMBRANOSA AGUDA,Diagnóstico (CIEX)
B3703,ESTOMATITIS CANDIDIASICA ERITEMATOSA (ATROFICA) CRONICA,Diagnóstico (CIEX)
B3704,CANDIDIASIS MUCOCUTANEA,Diagnóstico (CIEX)
B3709,"MANIFESTACIONES BUCALES, NO ESPECIFICADAS",Diagnóstico (CIEX)
B371,CANDIDIASIS PULMONAR,Diagnóstico (CIEX)
B3708,OTRAS MANIFESTACIONES BUCALES ESPECIFICADAS,Diagnóstico (CIEX)
B3705,GRANULOMA CANDIDIASICO BUCAL,Diagnóstico (CIEX)
B3706,QUEILITIS ANGULAR,Diagnóstico (CIEX)
B372,CANDIDIASIS DE LA PIEL Y LAS UNAS,Diagnóstico (CIEX)
B373,CANDIDIASIS VAGINAL,Diagnóstico (CIEX)
B374,CANDIDIASIS DE OTRAS LOCALIZACIONES UROGENITALES,Diagnóstico (CIEX)
B375,MENINGITIS DEBIDA A CANDIDA (G02.1*),Diagnóstico (CIEX)
B376,ENDOCARDITIS DEBIDA A CANDIDA (I39.8*),Diagnóstico (CIEX)
B377,SEPTICEMIA DEBIDA A CANDIDA,Diagnóstico (CIEX)
B378,CANDIDIASIS DE OTROS SITIOS,Diagnóstico (CIEX)
B379,"CANDIDIASIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B381,COCCIDIOIDOMICOSIS PULMONAR CRONICA,Diagnóstico (CIEX)
B382,"COCCIDIOIDOMICOSIS PULMONAR, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B380,COCCIDIOIDOMICOSIS PULMONAR AGUDA,Diagnóstico (CIEX)
B383,COCCIDIOIDOMICOSIS CUTANEA,Diagnóstico (CIEX)
B384,MENINGITIS DEBIDA A COCCIDIOIDOMICOSIS (G02.1*),Diagnóstico (CIEX)
B387,COCCIDIOIDOMICOSIS DISEMINADA,Diagnóstico (CIEX)
B389,"COCCIDIOIDOMICOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B390,INFECCION PULMONAR AGUDA DEBIDA A HISTOPLASMA CAPSULATUM,Diagnóstico (CIEX)
B388,OTRAS FORMAS DE COCCIDIOIDOMICOSIS,Diagnóstico (CIEX)
B391,INFECCION PULMONAR CRONICA DEBIDA A HISTOPLASMA CAPSULATUM,Diagnóstico (CIEX)
B392,"INFECCION PULMONAR DEBIDA A HISTOPLASMA CAPSULATUM, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B393,INFECCION DISEMINADA DEBIDA A HISTOPLASMA CAPSULATUM,Diagnóstico (CIEX)
B394,"HISTOPLASMOSIS DEBIDA A HISTOPLASMA CAPSULATUM, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B395,INFECCION DEBIDA A HISTOPLASMA DUBOISII,Diagnóstico (CIEX)
B399,"HISTOPLASMOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B400,BLASTOMICOSIS PULMONAR AGUDA,Diagnóstico (CIEX)
B401,BLASTOMICOSIS PULMONAR CRONICA,Diagnóstico (CIEX)
B402,"BLASTOMICOSIS PULMONAR, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
B403,BLASTOMICOSIS CUTANEA,Diagnóstico (CIEX)
B407,BLASTOMICOSIS DISEMINADA,Diagnóstico (CIEX)
B408,OTRAS FORMAS DE BLASTOMICOSIS,Diagnóstico (CIEX)
B409,"BLASTOMICOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B410,PARACOCCIDIOIDOMICOSIS PULMONAR,Diagnóstico (CIEX)
B418,OTRAS FORMAS DE PARACOCCIDIOIDOMICOSIS,Diagnóstico (CIEX)
B419,"PARACOCCIDIOIDOMICOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B420,ESPOROTRICOSIS PULMONAR (J99.8*),Diagnóstico (CIEX)
B417,PARACOCCIDIOIDOMICOSIS DISEMINADA,Diagnóstico (CIEX)
B421,ESPOROTRICOSIS LINFOCUTANEA,Diagnóstico (CIEX)
B427,ESPOROTRICOSIS DISEMINADA,Diagnóstico (CIEX)
B428,OTRAS FORMAS DE ESPOROTRICOSIS,Diagnóstico (CIEX)
B429,"ESPOROTRICOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B430,CROMOMICOSIS CUTANEA,Diagnóstico (CIEX)
B431,ABSCESO CEREBRAL FEOMICOTICO,Diagnóstico (CIEX)
B432,ABSCESO Y QUISTE SUBCUTANEO FEOMICOTICO,Diagnóstico (CIEX)
B438,OTRAS FORMAS DE CROMOMICOSIS,Diagnóstico (CIEX)
B439,"CROMOMICOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
B440,ASPERGILOSIS PULMONAR INVASIVA,Diagnóstico (CIEX)
B441,OTRAS ASPERGILOSIS PULMONARES,Diagnóstico (CIEX)
