Código,Descripción,Tipo Descripción
A502,"SIFILIS CONGENITA PRECOZ, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A503,OCULOPATIA SIFILITICA CONGENITA TARDIA,Diagnóstico (CIEX)
A505,"OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA",Diagnóstico (CIEX)
A506,"SIFILIS CONGENITA TARDIA, LATENTE",Diagnóstico (CIEX)
A507,"SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A509,SIFILIS CONGENITA,Diagnóstico (CIEX)
A510,SIFILIS PRIMARIA,Diagnóstico (CIEX)
A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL],Diagnóstico (CIEX)
A511,SIFILIS PRIMARIA ANAL,Diagnóstico (CIEX)
A512,SIFILIS PRIMARIA EN OTROS SITIOS,Diagnóstico (CIEX)
A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,Diagnóstico (CIEX)
A514,OTRAS SIFILIS SECUNDARIAS,Diagnóstico (CIEX)
A515,SIFILIS LATENTE,Diagnóstico (CIEX)
A519,"SIFILIS PRECOZ, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A520,SIFILIS CARDIOVASCULAR,Diagnóstico (CIEX)
A521,NEUROSIFILIS SINTOMATICA,Diagnóstico (CIEX)
A522,NEUROSIFILIS ASINTOMATICA,Diagnóstico (CIEX)
A523,NEUROSIFILIS NO ESPECIFICADA,Diagnóstico (CIEX)
A527,OTRAS SIFILIS TARDIAS SINTOMATICAS,Diagnóstico (CIEX)
A528,"SIFILIS TARDIA, LATENTE",Diagnóstico (CIEX)
A529,"SIFILIS TARDIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A530,"SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA",Diagnóstico (CIEX)
A539,SIFILIS NO ESPECIFICADA,Diagnóstico (CIEX)
A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA,Diagnóstico (CIEX)
A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLA,Diagnóstico (CIEX)
A542,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS,Diagnóstico (CIEX)
A543,INFECCION GONOCOCICA DEL OJO,Diagnóstico (CIEX)
A544,INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR,Diagnóstico (CIEX)
A545,FARINGITIS GONOCOCICA,Diagnóstico (CIEX)
A548,OTRAS INFECCIONES GONOCOCICAS,Diagnóstico (CIEX)
A549,GONORREA,Diagnóstico (CIEX)
A546,INFECCION GONOCOCICA DEL ANO Y DEL RECTO,Diagnóstico (CIEX)
A55X,LINFOGRANULOMA VENEREO,Diagnóstico (CIEX)
A560,INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS,Diagnóstico (CIEX)
A561,INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS,Diagnóstico (CIEX)
A562,CLAMIDIASIS,Diagnóstico (CIEX)
A563,INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS,Diagnóstico (CIEX)
A568,INFECCION DE TRANSMISION SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS,Diagnóstico (CIEX)
A57X,CHANCRO BLANDO,Diagnóstico (CIEX)
A564,INFECCION DE FARINGE DEBIDA A CLAMIDIAS,Diagnóstico (CIEX)
A598,TRICOMONIASIS DE OTROS SITIOS,Diagnóstico (CIEX)
A599,TRICHOMONIASIS,Diagnóstico (CIEX)
A58X,GRANULOMA INGUINAL,Diagnóstico (CIEX)
A590,TRICOMONIASIS UROGENITAL,Diagnóstico (CIEX)
A630,VERRUGAS (VENEREAS) ANOGENITALES,Diagnóstico (CIEX)
A638,"OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS",Diagnóstico (CIEX)
A601,INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE,Diagnóstico (CIEX)
A609,"INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A600,HERPES GENITAL,Diagnóstico (CIEX)
A64X,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA,Diagnóstico (CIEX)
A64X1,SINDROME DE BUBON INGUINAL,Diagnóstico (CIEX)
A64X5,SINDROME DE DOLOR ABDOMINAL BAJO,Diagnóstico (CIEX)
A64X2,SINDROME DE CERVICITIS,Diagnóstico (CIEX)
A64X3,SINDROME DE VAGINITIS,Diagnóstico (CIEX)
A64X4,SINDROME DE ULCERA GENITAL,Diagnóstico (CIEX)
A64X7,PROCTITIS,Diagnóstico (CIEX)
A64X9,SINDROME DE FLUJO VAGINAL,Diagnóstico (CIEX)
A64X6,SINDROME DE SECRECION URETRAL,Diagnóstico (CIEX)
A65X,SIFILIS NO VENEREA,Diagnóstico (CIEX)
A660,LESIONES INICIALES DE FRAMBESIA,Diagnóstico (CIEX)
A661,LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO,Diagnóstico (CIEX)
A662,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA,Diagnóstico (CIEX)
A663,HIPERQUERATOSIS DE FRAMBESIA,Diagnóstico (CIEX)
A664,GOMA Y ULCERAS DE FRAMBESIA,Diagnóstico (CIEX)
A665,GANGOSA,Diagnóstico (CIEX)
A666,LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES,Diagnóstico (CIEX)
A667,OTRAS MANIFESTACIONES DE FRAMBESIA,Diagnóstico (CIEX)
A668,FRAMBESIA LATENTE,Diagnóstico (CIEX)
A670,LESIONES PRIMARIAS DE LA PINTA,Diagnóstico (CIEX)
A671,LESIONES INTERMEDIAS DE LA PINTA,Diagnóstico (CIEX)
A669,"FRAMBESIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A672,LESIONES TARDIAS DE LA PINTA,Diagnóstico (CIEX)
A673,LESIONES MIXTAS DE LA PINTA,Diagnóstico (CIEX)
A679,"PINTA, NO ESPECIFICADA",Diagnóstico (CIEX)
A680,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS,Diagnóstico (CIEX)
A681,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS,Diagnóstico (CIEX)
A689,"FIEBRE RECURRENTE, NO ESPECIFICADA",Diagnóstico (CIEX)
A691,OTRAS INFECCIONES DE VINCENT (GINGIVITIS DE VINCENT. GINGIVITIS Y GINGIVOESTOMATITIS ULC,Diagnóstico (CIEX)
A692,ENFERMEDAD DE LYME,Diagnóstico (CIEX)
A690,ESTOMATITIS ULCERATIVA NECROTIZANTE,Diagnóstico (CIEX)
A698,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS,Diagnóstico (CIEX)
